SubjectID,SubjectName,SubjectDescription,Name,NumericCode,CourseCode,Description,Prerequisite,Antirequisite,Corequisite,OneWayExclusion,CrossListed
0,Accounting,,Financial Reporting Valuation,452,ACCT,"Models to determine firm value from accounting information and a broader perspective on key sources of information, key value drivers, in a setting where evaluating firm value is the ultimate purpose.",ACCT 354.,,,,
0,Accounting,,Intermediate Financial Accounting,351,ACCT,"An examination of the theoretical foundation for financial reporting and revenue recognition. The tools of accounting, including a review of the accounting process and compound interest concepts. Asset recognition, measurement and disclosure. Partnership accounting.",MGCR 211,,,,
0,Accounting,,Management Accounting,361,ACCT,The role of management accounting information to support internal management decisions and to provide performance incentives.,MGCR 211,,,,
0,Accounting,,Financial Statement Analysis,354,ACCT,"Interpretative nature of the conceptual framework underlying a multitude of financial reporting standards, including the impact of alternative accounting methods, management biases and stakeholder interests in the analysis and valuation of the firm.",,,,,
0,Accounting,,Topics in Accounting,434,ACCT,Topics will be selected from current issues in the Accounting Area.,MGCR 211,Open to U2 and U3 students.,,,
0,Accounting,,Principles of Taxation,385,ACCT,An introduction to the concepts underlying the Canadian tax system and how they are applied in relation to the taxation of individuals and businesses.,MGCR 211,,,,
0,Accounting,,Intermediate Financial Accounting,352,ACCT,"A continuation of Intermediate Financial Accounting 1. An examination of liability recognition, measurement and disclosure, including leases, pension costs and corporate income tax. Shareholders' equity, dilutive securities and earnings per share. The statement of changes in financial position, basic financial statement analysis and full disclosure in financial reporting.",,,,,
0,Accounting,,Sustainability and Environmental Accounting,401,ACCT,"Developing measures of corporate environmental performance, assessing their reliability and reporting to external stakeholders. Using sustainability metrics in strategic and operational business decisions. Implementing and utilizing Environmental management systems and standards. Managing corporate environmental risks and accounting for environmental costs. Environmental auditing.",MGCR 211,,,,
0,Accounting,,Financial Reporting,454,ACCT,An in-depth study of Canadian accounting standards and how Canadian corporations apply them in their financial reporting.,ACCT 352,,,,
0,Accounting,,Advanced Financial Accounting,453,ACCT,Reporting relevant financial information subsequent to long term intercorporate investments. The preparation of consolidated financial statements with emphasis on their economic substance rather than legal form.,ACCT 352,,,,
0,Accounting,,Management Control,463,ACCT,The theoretical frameworks for the examination and evaluation of management accounting and control systems. The technical aspects of accounting along with behavioural issues of management control.,,,,,
0,Accounting,,Internal Auditing,476,ACCT,"The modern internal audit approach including operational and management audit practices within the internal audit framework. Topics include objectives of an internal audit, communication by internal auditors, planning audit projects, audit of EDP systems, audit testing, operational areas.",,,,,
0,Accounting,,Development of Accounting Thought,455,ACCT,"The conceptual underpinning of accounting thought, including its historical development and the modifications that have occurred over time. A review of accounting literature and its relevance to practice.",ACCT 352,,,,
0,Accounting,,Principles of Auditing,475,ACCT,"An introduction to basic auditing concepts and internal controls of an accounting system. Topics include current auditing standards, ethical conduct, legal liability, planning of an audit, sampling techniques, non-audit engagements, the study and evaluation of internal controls in an accounting system.",ACCT 352,,,,
0,Accounting,,Non-Profit Accounting,471,ACCT,"The foundations and practices of non-profit accounting for organizations including government, volunteer, charitable, health care and educational. The framework to evaluate and understand emerging issues.",ACCT 352,,,,
0,Accounting,,Financial Statements,604,ACCT,"Introduction to financial accounting, including the objectives of financial statement analysis. Discussion of the limitations of the financial information used in financial statement analysis.",FINE 673,,,,
0,Accounting,,External Auditing,477,ACCT,"The theory of auditing financial statements and the various complexities encountered in these audit environments. A thorough study of auditing standards, ethical conduct, communication by auditors, auditing in an EDP environment, audit of a small business, other reports and services provided by auditors and public accountants.",,,,,
0,Accounting,,Practice of Taxation,683,ACCT,"Providing taxation services and guidance, including assisting individual and corporate entities to minimize taxes and meet their objectives while complying with tax laws and regulations. Addressing compliance and tax-planning issues for both individuals and corporate entities, as well as, to a lesser extent, partnerships and trusts. Recognizing the interrelationship between financial reporting decisions and taxation, and the importance of taking taxes into account when making business and investment decisions.",,Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.,,,
0,Accounting,,Business Taxation,486,ACCT,"A study of the Income Tax Act as it applies to the taxation of individuals and corporations, including capital cost allowances, capital gains, corporate reorganisations, trusts and partnerships and administrative regulations. A review of consumption taxes.",ACCT 385,,,,
